Facility,Direction,Freeflow,IsHighCongestion,Month,Year,Avg_Speed,Delta,Temp_Max_Mean_2025,Temp_Min_Mean_2025,Precip_Sum_mm_2025,Snow_Sum_cm_2025
BB,EB,44.9,0,3,2025,46.9,2.0,12.406451612903227,1.993548387096774,162.5,0.0
BB,WB,45.0,0,3,2025,48.4,3.4,12.406451612903227,1.993548387096774,162.5,0.0
GB,EB,44.9,0,3,2025,44.6,-0.3,12.406451612903227,1.993548387096774,162.5,0.0
GB,WB,44.9,0,3,2025,47.9,3.0,12.406451612903227,1.993548387096774,162.5,0.0
GWB,EB,46.1,1,3,2025,30.5,-23.2,12.406451612903227,1.993548387096774,162.5,0.0
GWB,WB,45.9,1,3,2025,32.2,-13.7,12.406451612903227,1.993548387096774,162.5,0.0
HT,EB,34.9,0,3,2025,30.5,-4.4,12.406451612903227,1.993548387096774,162.5,0.0
HT,WB,32.0,0,3,2025,24.2,-7.8,12.406451612903227,1.993548387096774,162.5,0.0
LT,EB,32.9,1,3,2025,20.2,-12.7,12.406451612903227,1.993548387096774,162.5,0.0
LT,WB,40.0,1,3,2025,25.8,-14.2,12.406451612903227,1.993548387096774,162.5,0.0
OBX,EB,47.9,0,3,2025,49.0,1.1,12.406451612903227,1.993548387096774,162.5,0.0
OBX,WB,44.9,0,3,2025,46.7,1.8,12.406451612903227,1.993548387096774,162.5,0.0
BB,EB,44.9,0,2,2025,47.2,2.3,4.003571428571428,-3.3428571428571425,79.4,18.41
BB,WB,45.0,0,2,2025,48.5,3.5,4.003571428571428,-3.3428571428571425,79.4,18.41
GB,EB,44.9,0,2,2025,45.5,0.6,4.003571428571428,-3.3428571428571425,79.4,18.41
GB,WB,44.9,0,2,2025,46.2,1.3,4.003571428571428,-3.3428571428571425,79.4,18.41
GWB,EB,46.1,1,2,2025,25.4,-20.7,4.003571428571428,-3.3428571428571425,79.4,18.41
GWB,WB,45.9,1,2,2025,32.2,-13.7,4.003571428571428,-3.3428571428571425,79.4,18.41
HT,EB,34.9,0,2,2025,31.1,-3.8,4.003571428571428,-3.3428571428571425,79.4,18.41
HT,WB,32.0,0,2,2025,25.1,-6.9,4.003571428571428,-3.3428571428571425,79.4,18.41
LT,EB,32.9,1,2,2025,21.5,-11.4,4.003571428571428,-3.3428571428571425,79.4,18.41
LT,WB,40.0,1,2,2025,27.2,-12.8,4.003571428571428,-3.3428571428571425,79.4,18.41
OBX,EB,47.9,0,2,2025,49.1,1.2,4.003571428571428,-3.3428571428571425,79.4,18.41
OBX,WB,44.9,0,2,2025,46.8,1.9,4.003571428571428,-3.3428571428571425,79.4,18.41
BB,EB,44.9,0,1,2025,47.3,2.4,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,1,2025,48.6,3.6,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,1,2025,49.0,4.1,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,1,2025,47.4,2.5,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,1,2025,30.0,-16.0,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,1,2025,32.8,-13.2,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,0,1,2025,33.6,-1.3,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,0,1,2025,26.3,-5.7,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,0,1,2025,23.4,-9.5,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,1,2025,28.4,-11.6,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,1,2025,49.5,1.6,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,1,2025,47.2,2.3,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,WB,45.0,0,12,2024,45.0,3.4,1.1870967741935483,-5.361290322580646,30.3,9.17
BB,EB,44.9,0,12,2024,47.3,2.4,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,WB,44.9,0,12,2024,44.9,1.4,1.1870967741935483,-5.361290322580646,30.3,9.17
GB,EB,44.9,0,12,2024,39.0,-5.9,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,WB,45.9,1,12,2024,45.9,-15.5,1.1870967741935483,-5.361290322580646,30.3,9.17
GWB,EB,46.1,1,12,2024,20.1,-25.9,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,WB,32.0,1,12,2024,32.0,-11.3,1.1870967741935483,-5.361290322580646,30.3,9.17
HT,EB,34.9,1,12,2024,22.6,-12.3,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,WB,40.0,1,12,2024,40.0,-16.3,1.1870967741935483,-5.361290322580646,30.3,9.17
LT,EB,32.9,1,12,2024,13.2,-19.7,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,WB,44.9,0,12,2024,44.9,0.9,1.1870967741935483,-5.361290322580646,30.3,9.17
OBX,EB,47.9,0,12,2024,46.7,-1.2,1.1870967741935483,-5.361290322580646,30.3,9.17
