DATE,TempMax_C,TempMin_C,Precipitation_mm,Snowfall_cm
2013-01-01,3.0,-3.9,0.0,0.0
2013-01-02,-1.0,-7.6,0.0,0.0
2013-01-03,-0.8,-9.3,0.0,0.0
2013-01-04,2.1,-4.5,0.0,0.0
2013-01-05,4.0,-1.8,0.0,0.0
2013-01-06,5.3,-2.7,0.4,0.35
2013-01-07,5.9,-4.5,0.0,0.0
2013-01-08,7.8,-3.0,0.0,0.0
2013-01-09,8.0,-1.6,0.0,0.0
2013-01-10,7.8,-1.1,0.0,0.0
2013-01-11,6.6,-2.3,9.5,0.0
2013-01-12,8.9,5.5,1.8,0.0
2013-01-13,8.7,5.3,0.0,0.0
2013-01-14,13.5,6.1,0.3,0.0
2013-01-15,5.1,2.0,3.5,0.0
2013-01-16,2.7,-0.1,15.2,5.53
2013-01-17,4.7,0.3,0.1,0.07
2013-01-18,-0.3,-8.8,1.0,0.7
2013-01-19,8.2,-7.7,0.0,0.0
2013-01-20,10.5,0.1,0.0,0.0
2013-01-21,1.3,-3.4,0.1,0.35
2013-01-22,-2.2,-8.2,0.0,0.0
2013-01-23,-5.8,-10.8,0.0,0.0
2013-01-24,-4.3,-10.5,0.0,0.0
2013-01-25,-3.6,-10.3,1.1,0.77
2013-01-26,-2.3,-8.9,0.0,0.0
2013-01-27,1.2,-8.8,0.0,0.0
2013-01-28,1.0,-4.9,4.5,0.91
2013-01-29,9.1,1.3,0.0,0.0
2013-01-30,14.6,3.4,0.1,0.0
2013-01-31,13.9,-0.9,15.5,0.0
2013-02-01,0.3,-3.9,0.0,0.0
2013-02-02,-1.4,-6.7,0.5,0.42
2013-02-03,-0.9,-5.2,1.0,0.77
2013-02-04,-0.4,-6.5,0.0,0.0
2013-02-05,0.0,-5.0,1.0,1.33
2013-02-06,3.7,-4.3,0.1,0.21
2013-02-07,0.4,-5.0,0.0,0.0
2013-02-08,1.9,-2.8,36.3,21.77
2013-02-09,-1.2,-8.9,16.5,11.55
2013-02-10,-1.0,-14.1,0.0,0.0
2013-02-11,5.3,-7.1,9.5,0.07
2013-02-12,5.1,-3.3,0.4,0.0
2013-02-13,4.2,-4.4,1.2,0.14
2013-02-14,4.6,-4.8,1.1,0.7
2013-02-15,8.0,-4.7,0.0,0.0
2013-02-16,2.4,-1.8,1.1,0.77
2013-02-17,-2.0,-8.6,0.8,0.63
2013-02-18,0.4,-10.2,0.0,0.0
2013-02-19,6.3,-6.0,5.9,0.0
2013-02-20,2.1,-4.2,0.0,0.0
2013-02-21,0.3,-6.3,0.0,0.0
2013-02-22,2.4,-6.9,0.4,0.14
2013-02-23,4.8,-0.4,2.2,0.0
2013-02-24,7.5,-0.1,0.1,0.0
2013-02-25,6.8,-2.2,0.0,0.0
2013-02-26,5.9,-2.5,0.9,0.0
2013-02-27,9.8,2.3,10.2,0.0
2013-02-28,9.6,0.4,0.8,0.0
2013-03-01,7.5,-0.4,0.0,0.0
