Date,Year,Month,Week,Temp_Max_Mean,Precip_Sum_mm,Forecasted_Traffic,Facility
2025-06-08,2025,6,23,16.842857142857145,18.5,256572.95749412707,All Facilities
2025-06-15,2025,6,24,16.842857142857145,18.5,259449.25805356863,All Facilities
2025-06-22,2025,6,25,16.842857142857145,18.5,260706.71943657624,All Facilities
2025-06-29,2025,6,26,16.842857142857145,18.5,259055.07931944475,All Facilities
2025-07-06,2025,7,27,16.842857142857145,18.5,257083.13176392662,All Facilities
2025-07-13,2025,7,28,16.842857142857145,18.5,257680.23616374886,All Facilities
2025-07-20,2025,7,29,16.842857142857145,18.5,257680.23616374886,All Facilities
2025-07-27,2025,7,30,16.842857142857145,18.5,257680.23616374886,All Facilities
2025-08-03,2025,8,31,16.842857142857145,18.5,257580.06428874886,All Facilities
2025-08-10,2025,8,32,16.842857142857145,18.5,257483.64241374886,All Facilities
2025-08-17,2025,8,33,16.842857142857145,18.5,257483.64241374886,All Facilities
2025-08-24,2025,8,34,16.842857142857145,18.5,258645.89850891675,All Facilities
2025-08-31,2025,8,35,16.842857142857145,18.5,252742.73128724535,All Facilities
2025-09-07,2025,9,36,16.842857142857145,18.5,244160.01840432663,All Facilities
2025-09-14,2025,9,37,16.842857142857145,18.5,244258.96123760805,All Facilities
2025-09-21,2025,9,38,16.842857142857145,18.5,237953.64135196677,All Facilities
2025-09-28,2025,9,39,16.842857142857145,18.5,236846.40038119192,All Facilities
2025-10-05,2025,10,40,16.842857142857145,18.5,236920.58201527153,All Facilities
2025-10-12,2025,10,41,16.842857142857145,18.5,240173.84311058396,All Facilities
2025-10-19,2025,10,42,16.842857142857145,18.5,238998.35530600414,All Facilities
2025-10-26,2025,10,43,16.842857142857145,18.5,235086.75804324006,All Facilities
2025-11-02,2025,11,44,16.842857142857145,18.5,235086.75804324006,All Facilities
2025-11-09,2025,11,45,16.842857142857145,18.5,237115.00952969084,All Facilities
2025-11-16,2025,11,46,16.842857142857145,18.5,236903.4549036551,All Facilities
2025-11-23,2025,11,47,16.842857142857145,18.5,237089.4080286551,All Facilities
2025-11-30,2025,11,48,16.842857142857145,18.5,237089.4080286551,All Facilities
2025-12-07,2025,12,49,16.842857142857145,18.5,235665.00228391978,All Facilities
2025-12-14,2025,12,50,16.842857142857145,18.5,237293.14509449067,All Facilities
2025-12-21,2025,12,51,16.842857142857145,18.5,236972.47268829076,All Facilities
2025-12-28,2025,12,52,16.842857142857145,18.5,236891.51474991432,All Facilities
2026-01-04,2026,1,1,16.842857142857145,18.5,236832.4306495104,All Facilities
2026-01-11,2026,1,2,16.842857142857145,18.5,245053.76865893102,All Facilities
2026-01-18,2026,1,3,16.842857142857145,18.5,247502.70640074744,All Facilities
2026-01-25,2026,1,4,16.842857142857145,18.5,252280.26868585253,All Facilities
2026-02-01,2026,2,5,16.842857142857145,18.5,254549.61963137248,All Facilities
2026-02-08,2026,2,6,16.842857142857145,18.5,255201.34303539805,All Facilities
2026-02-15,2026,2,7,16.842857142857145,18.5,257721.24938660965,All Facilities
2026-02-22,2026,2,8,16.842857142857145,18.5,265062.9478389513,All Facilities
2026-03-01,2026,3,9,16.842857142857145,18.5,263590.8746468212,All Facilities
2026-03-08,2026,3,10,16.842857142857145,18.5,264244.1943519823,All Facilities
2026-03-15,2026,3,11,16.842857142857145,18.5,265796.7709063996,All Facilities
2026-03-22,2026,3,12,16.842857142857145,18.5,269633.63137537445,All Facilities
2026-03-29,2026,3,13,16.842857142857145,18.5,273534.512728667,All Facilities
2026-04-05,2026,4,14,16.842857142857145,18.5,276077.5810005055,All Facilities
2026-04-12,2026,4,15,16.842857142857145,18.5,279832.0825225217,All Facilities
2026-04-19,2026,4,16,16.842857142857145,18.5,283000.04490163387,All Facilities
2026-04-26,2026,4,17,16.842857142857145,18.5,285625.440913626,All Facilities
2026-05-03,2026,5,18,16.842857142857145,18.5,288658.67977013264,All Facilities
2026-05-10,2026,5,19,16.842857142857145,18.5,289771.5221739212,All Facilities
2026-05-17,2026,5,20,16.842857142857145,18.5,292270.12834467913,All Facilities
2026-05-24,2026,5,21,16.842857142857145,18.5,291915.1173411441,All Facilities
2026-05-31,2026,5,22,16.842857142857145,18.5,293416.37587332784,All Facilities
2026-06-07,2026,6,23,16.842857142857145,18.5,289918.33103905164,All Facilities
2026-06-14,2026,6,24,16.842857142857145,18.5,288882.1782494171,All Facilities
2026-06-21,2026,6,25,16.842857142857145,18.5,284656.7719323013,All Facilities
2026-06-28,2026,6,26,16.842857142857145,18.5,283896.01309562946,All Facilities
2026-07-05,2026,7,27,16.842857142857145,18.5,280451.6150880413,All Facilities
2026-07-12,2026,7,28,16.842857142857145,18.5,281798.1924850296,All Facilities
2026-07-19,2026,7,29,16.842857142857145,18.5,279867.00819657324,All Facilities
2026-07-26,2026,7,30,16.842857142857145,18.5,281643.88583589136,All Facilities
2026-08-02,2026,8,31,16.842857142857145,18.5,279766.83632157324,All Facilities
2026-08-09,2026,8,32,16.842857142857145,18.5,281543.71396089136,All Facilities
2026-08-16,2026,8,33,16.842857142857145,18.5,279766.83632157324,All Facilities
2026-08-23,2026,8,34,16.842857142857145,18.5,281627.8267917411,All Facilities
2026-08-30,2026,8,35,16.842857142857145,18.5,276331.8139338691,All Facilities
2026-09-06,2026,9,36,16.842857142857145,18.5,274977.95049310743,All Facilities
2026-09-13,2026,9,37,16.842857142857145,18.5,269159.2024591203,All Facilities
2026-09-20,2026,9,38,16.842857142857145,18.5,264732.62647847034,All Facilities
2026-09-27,2026,9,39,16.842857142857145,18.5,255689.35800783563,All Facilities
2026-10-04,2026,10,40,16.842857142857145,18.5,250844.72377741442,All Facilities
2026-10-11,2026,10,41,16.842857142857145,18.5,249024.77006551804,All Facilities
2026-10-18,2026,10,42,16.842857142857145,18.5,247857.46194843826,All Facilities
2026-10-25,2026,10,43,16.842857142857145,18.5,245228.22996949218,All Facilities
2026-11-01,2026,11,44,16.842857142857145,18.5,243984.86378726727,All Facilities
2026-11-08,2026,11,45,16.842857142857145,18.5,245156.50589871805,All Facilities
2026-11-15,2026,11,46,16.842857142857145,18.5,240863.0378271624,All Facilities
2026-11-22,2026,11,47,16.842857142857145,18.5,245130.90439768232,All Facilities
2026-11-29,2026,11,48,16.842857142857145,18.5,240276.52399942995,All Facilities
2026-12-06,2026,12,49,16.842857142857145,18.5,243706.498652947,All Facilities
2026-12-13,2026,12,50,16.842857142857145,18.5,238400.3860652655,All Facilities
2026-12-20,2026,12,51,16.842857142857145,18.5,237744.9396410232,All Facilities
2026-12-27,2026,12,52,16.842857142857145,18.5,236891.51474991432,All Facilities
2027-01-03,2027,1,53,16.842857142857145,18.5,234316.52815553686,All Facilities
2027-01-10,2027,1,1,16.842857142857145,18.5,236832.4306495104,All Facilities
2027-01-17,2027,1,2,16.842857142857145,18.5,245053.76865893102,All Facilities
2027-01-24,2027,1,3,16.842857142857145,18.5,247502.70640074744,All Facilities
2027-01-31,2027,1,4,16.842857142857145,18.5,252280.26868585253,All Facilities
2027-02-07,2027,2,5,16.842857142857145,18.5,254549.61963137248,All Facilities
2027-02-14,2027,2,6,16.842857142857145,18.5,255201.34303539805,All Facilities
2027-02-21,2027,2,7,16.842857142857145,18.5,257721.24938660965,All Facilities
2027-02-28,2027,2,8,16.842857142857145,18.5,265062.9478389513,All Facilities
2027-03-07,2027,3,9,16.842857142857145,18.5,263590.8746468212,All Facilities
