Start_Date	End_Date	Carrier	Volume
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	HCEE - Community	75
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Lakeland	12
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Martz	13
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	NJ Transit	2043
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Peter Pan_Bonanza	10
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	Trailways	10
2021-02-08 00:00:00.000	2021-02-12 00:00:00.000	TransBridge	12
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Academy	35
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	C & J Bus Lines	0
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Coach USA	81
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	DeCamp	0
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Greyhound	34
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	HCEE - Community	73
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Lakeland	12
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Martz	13
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	NJ Transit	2281
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Peter Pan_Bonanza	9
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	Trailways	9
2021-02-15 00:00:00.000	2021-02-19 00:00:00.000	TransBridge	12
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Academy	32
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	C & J Bus Lines	0
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Coach USA	83
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	DeCamp	0
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Greyhound	33
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	HCEE - Community	78
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Lakeland	12
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Martz	13
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	NJ Transit	2077
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Peter Pan_Bonanza	9
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	Trailways	10
2021-02-22 00:00:00.000	2021-02-26 00:00:00.000	TransBridge	12
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Academy	32
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	C & J Bus Lines	0
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Coach USA	83
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	DeCamp	0
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Greyhound	35
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	HCEE - Community	71
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Lakeland	12
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Martz	13
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	NJ Transit	2095
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Peter Pan_Bonanza	9
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	Trailways	10
2021-03-01 00:00:00.000	2021-03-05 00:00:00.000	TransBridge	12
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Academy	36
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	C & J Bus Lines	0
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Coach USA	83
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	DeCamp	0
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Greyhound	35
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	HCEE - Community	82
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Lakeland	12
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Martz	14
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	NJ Transit	2089
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Peter Pan_Bonanza	10
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	Trailways	11
2021-03-08 00:00:00.000	2021-03-12 00:00:00.000	TransBridge	12
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Academy	36
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	C & J Bus Lines	0
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Coach USA	84
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	DeCamp	0
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Greyhound	36
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	HCEE - Community	87
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Lakeland	12
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Martz	14
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	NJ Transit	2124
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Peter Pan_Bonanza	10
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	Trailways	11
2021-03-15 00:00:00.000	2021-03-19 00:00:00.000	TransBridge	12
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Academy	36
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	C & J Bus Lines	0
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Coach USA	84
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	DeCamp	0
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Greyhound	37
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	HCEE - Community	89
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Lakeland	13
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Martz	14
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	NJ Transit	2031
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Peter Pan_Bonanza	12
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	Trailways	11
2021-03-22 00:00:00.000	2021-03-26 00:00:00.000	TransBridge	12
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Academy	36
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	C & J Bus Lines	0
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Coach USA	84
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	DeCamp	0
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	Greyhound	40
2021-03-29 00:00:00.000	2021-04-02 00:00:00.000	HCEE - Community	89
